CountryName,Year,FertilityRate
Moldova,1960,3.3280000000000003
Moldova,1961,3.259
Moldova,1962,3.178
Moldova,1963,3.0860000000000003
Moldova,1964,2.989
Moldova,1965,2.891
Moldova,1966,2.801
Moldova,1967,2.722
Moldova,1968,2.66
Moldova,1969,2.613
Moldova,1970,2.582
Moldova,1971,2.56
Moldova,1972,2.542
Moldova,1973,2.523
Moldova,1974,2.503
Moldova,1975,2.483
Moldova,1976,2.465
Moldova,1977,2.455
Moldova,1978,2.454
Moldova,1979,2.4619999999999997
Moldova,1980,2.481
Moldova,1981,2.51
Moldova,1982,2.546
Moldova,1983,2.585
Moldova,1984,2.62
Moldova,1985,2.6430000000000002
Moldova,1986,2.6460000000000004
Moldova,1987,2.625
Moldova,1988,2.5780000000000003
Moldova,1989,2.506
Moldova,1990,2.4130000000000003
Moldova,1991,2.305
Moldova,1992,2.191
Moldova,1993,2.079
Moldova,1994,1.975
Moldova,1995,1.882
Moldova,1996,1.801
Moldova,1997,1.73
Moldova,1998,1.6669999999999998
Moldova,1999,1.6130000000000002
Moldova,2000,1.568
Moldova,2001,1.535
Moldova,2002,1.511
Moldova,2003,1.4969999999999999
Moldova,2004,1.489
Moldova,2005,1.4869999999999999
Moldova,2006,1.4869999999999999
Moldova,2007,1.4880000000000002
Moldova,2008,1.4869999999999999
Moldova,2009,1.483
Moldova,2010,1.4769999999999999
Moldova,2011,1.469
Moldova,2012,
Moldova,2013,
