CountryName,Year,FertilityRate
Mongolia,1960,6.952999999999999
Mongolia,1961,7.1679999999999975
Mongolia,1962,7.347
Mongolia,1963,7.477
Mongolia,1964,7.558
Mongolia,1965,7.593
Mongolia,1966,7.599
Mongolia,1967,7.591
Mongolia,1968,7.584
Mongolia,1969,7.5779999999999985
Mongolia,1970,7.569
Mongolia,1971,7.546
Mongolia,1972,7.497000000000001
Mongolia,1973,7.4129999999999985
Mongolia,1974,7.294
Mongolia,1975,7.144
Mongolia,1976,6.968999999999999
Mongolia,1977,6.78
Mongolia,1978,6.5870000000000015
Mongolia,1979,6.395
Mongolia,1980,6.209
Mongolia,1981,6.0329999999999995
Mongolia,1982,5.864
Mongolia,1983,5.6960000000000015
Mongolia,1984,5.526
Mongolia,1985,5.345
Mongolia,1986,5.14
Mongolia,1987,4.9060000000000015
Mongolia,1988,4.644
Mongolia,1989,4.356
Mongolia,1990,4.052
Mongolia,1991,3.7460000000000004
Mongolia,1992,3.451
Mongolia,1993,3.18
Mongolia,1994,2.9410000000000003
Mongolia,1995,2.738
Mongolia,1996,2.57
Mongolia,1997,2.43
Mongolia,1998,2.312
Mongolia,1999,2.2159999999999997
Mongolia,2000,2.144
Mongolia,2001,2.102
Mongolia,2002,2.089
Mongolia,2003,2.103
Mongolia,2004,2.141
Mongolia,2005,2.193
Mongolia,2006,2.254
Mongolia,2007,2.315
Mongolia,2008,2.3680000000000003
Mongolia,2009,2.41
Mongolia,2010,2.437
Mongolia,2011,2.447
Mongolia,2012,
Mongolia,2013,
