CountryName,Year,FertilityRate
Montenegro,1960,3.5210000000000004
Montenegro,1961,3.417
Montenegro,1962,3.3080000000000003
Montenegro,1963,3.199
Montenegro,1964,3.093
Montenegro,1965,2.9939999999999998
Montenegro,1966,2.906
Montenegro,1967,2.833
Montenegro,1968,2.773
Montenegro,1969,2.7260000000000004
Montenegro,1970,2.6889999999999996
Montenegro,1971,2.657
Montenegro,1972,2.625
Montenegro,1973,2.59
Montenegro,1974,2.549
Montenegro,1975,2.503
Montenegro,1976,2.4530000000000003
Montenegro,1977,2.4019999999999997
Montenegro,1978,2.354
Montenegro,1979,2.309
Montenegro,1980,2.266
Montenegro,1981,2.225
Montenegro,1982,2.185
Montenegro,1983,2.145
Montenegro,1984,2.104
Montenegro,1985,2.063
Montenegro,1986,2.022
Montenegro,1987,1.98
Montenegro,1988,1.94
Montenegro,1989,1.902
Montenegro,1990,1.869
Montenegro,1991,1.8430000000000002
Montenegro,1992,1.825
Montenegro,1993,1.815
Montenegro,1994,1.8130000000000002
Montenegro,1995,1.815
Montenegro,1996,1.82
Montenegro,1997,1.824
Montenegro,1998,1.8259999999999998
Montenegro,1999,1.8230000000000002
Montenegro,2000,1.815
Montenegro,2001,1.804
Montenegro,2002,1.7919999999999998
Montenegro,2003,1.7790000000000001
Montenegro,2004,1.767
Montenegro,2005,1.756
Montenegro,2006,1.745
Montenegro,2007,1.734
Montenegro,2008,1.722
Montenegro,2009,1.71
Montenegro,2010,1.6980000000000002
Montenegro,2011,1.6869999999999998
Montenegro,2012,
Montenegro,2013,
