CountryName,Year,FertilityRate
Myanmar,1960,6.051
Myanmar,1961,6.0729999999999995
Myanmar,1962,6.096
Myanmar,1963,6.1160000000000005
Myanmar,1964,6.13
Myanmar,1965,6.136
Myanmar,1966,6.129
Myanmar,1967,6.109
Myanmar,1968,6.074
Myanmar,1969,6.024
Myanmar,1970,5.959
Myanmar,1971,5.881
Myanmar,1972,5.791
Myanmar,1973,5.694
Myanmar,1974,5.5920000000000005
Myanmar,1975,5.4879999999999995
Myanmar,1976,5.3870000000000005
Myanmar,1977,5.289
Myanmar,1978,5.194
Myanmar,1979,5.1
Myanmar,1980,5.001
Myanmar,1981,4.891
Myanmar,1982,4.763999999999999
Myanmar,1983,4.619
Myanmar,1984,4.456
Myanmar,1985,4.279
Myanmar,1986,4.093999999999999
Myanmar,1987,3.909
Myanmar,1988,3.7319999999999998
Myanmar,1989,3.5660000000000003
Myanmar,1990,3.415
Myanmar,1991,3.279
Myanmar,1992,3.158
Myanmar,1993,3.0460000000000003
Myanmar,1994,2.945
Myanmar,1995,2.8510000000000004
Myanmar,1996,2.761
Myanmar,1997,2.675
Myanmar,1998,2.59
Myanmar,1999,2.508
Myanmar,2000,2.428
Myanmar,2001,2.353
Myanmar,2002,2.286
Myanmar,2003,2.227
Myanmar,2004,2.178
Myanmar,2005,2.137
Myanmar,2006,2.103
Myanmar,2007,2.075
Myanmar,2008,2.049
Myanmar,2009,2.026
Myanmar,2010,2.003
Myanmar,2011,1.98
Myanmar,2012,
Myanmar,2013,
