CountryName,Year,FertilityRate
Nepal,1960,5.992999999999999
Nepal,1961,5.994
Nepal,1962,5.995
Nepal,1963,5.996
Nepal,1964,5.997000000000001
Nepal,1965,5.997000000000001
Nepal,1966,5.996
Nepal,1967,5.994
Nepal,1968,5.9879999999999995
Nepal,1969,5.981
Nepal,1970,5.971
Nepal,1971,5.9579999999999975
Nepal,1972,5.945
Nepal,1973,5.928999999999999
Nepal,1974,5.912000000000001
Nepal,1975,5.894
Nepal,1976,5.8729999999999976
Nepal,1977,5.85
Nepal,1978,5.824
Nepal,1979,5.795
Nepal,1980,5.76
Nepal,1981,5.721
Nepal,1982,5.676
Nepal,1983,5.625
Nepal,1984,5.569
Nepal,1985,5.507999999999999
Nepal,1986,5.444
Nepal,1987,5.377999999999999
Nepal,1988,5.31
Nepal,1989,5.239
Nepal,1990,5.165
Nepal,1991,5.088
Nepal,1992,5.004
Nepal,1993,4.914
Nepal,1994,4.817
Nepal,1995,4.711
Nepal,1996,4.596
Nepal,1997,4.473
Nepal,1998,4.343
Nepal,1999,4.208
Nepal,2000,4.0680000000000005
Nepal,2001,3.924
Nepal,2002,3.778
Nepal,2003,3.6319999999999997
Nepal,2004,3.486
Nepal,2005,3.34
Nepal,2006,3.194
Nepal,2007,3.0460000000000003
Nepal,2008,2.8989999999999996
Nepal,2009,2.755
Nepal,2010,2.6189999999999998
Nepal,2011,2.496
Nepal,2012,
Nepal,2013,
