CountryName,Year,FertilityRate
New Caledonia,1960,6.278
New Caledonia,1961,6.144
New Caledonia,1962,6.01
New Caledonia,1963,5.8729999999999976
New Caledonia,1964,5.737
New Caledonia,1965,5.6
New Caledonia,1966,5.385
New Caledonia,1967,5.17
New Caledonia,1968,4.88
New Caledonia,1969,4.59
New Caledonia,1970,4.3
New Caledonia,1971,4.176
New Caledonia,1972,4.051
New Caledonia,1973,3.927
New Caledonia,1974,3.803
New Caledonia,1975,3.679
New Caledonia,1976,3.554
New Caledonia,1977,3.43
New Caledonia,1978,3.372
New Caledonia,1979,3.3139999999999996
New Caledonia,1980,3.2560000000000002
New Caledonia,1981,3.198
New Caledonia,1982,3.14
New Caledonia,1983,3.093
New Caledonia,1984,3.0469999999999997
New Caledonia,1985,3.0
New Caledonia,1986,3.025
New Caledonia,1987,3.05
New Caledonia,1988,3.097
New Caledonia,1989,3.1430000000000002
New Caledonia,1990,3.19
New Caledonia,1991,3.02
New Caledonia,1992,2.85
New Caledonia,1993,2.763
New Caledonia,1994,2.677
New Caledonia,1995,2.59
New Caledonia,1996,2.645
New Caledonia,1997,2.7
New Caledonia,1998,2.677
New Caledonia,1999,2.653
New Caledonia,2000,2.63
New Caledonia,2001,2.47
New Caledonia,2002,2.37
New Caledonia,2003,2.3
New Caledonia,2004,2.18
New Caledonia,2005,2.2
New Caledonia,2006,2.29
New Caledonia,2007,2.2
New Caledonia,2008,2.166
New Caledonia,2009,2.2
New Caledonia,2010,2.193
New Caledonia,2011,2.1719999999999997
New Caledonia,2012,
New Caledonia,2013,
