CountryName,Year,FertilityRate
Northern Mariana Islands,1960,
Northern Mariana Islands,1961,
Northern Mariana Islands,1962,
Northern Mariana Islands,1963,
Northern Mariana Islands,1964,
Northern Mariana Islands,1965,
Northern Mariana Islands,1966,
Northern Mariana Islands,1967,
Northern Mariana Islands,1968,
Northern Mariana Islands,1969,
Northern Mariana Islands,1970,
Northern Mariana Islands,1971,
Northern Mariana Islands,1972,
Northern Mariana Islands,1973,
Northern Mariana Islands,1974,
Northern Mariana Islands,1975,
Northern Mariana Islands,1976,
Northern Mariana Islands,1977,
Northern Mariana Islands,1978,
Northern Mariana Islands,1979,
Northern Mariana Islands,1980,
Northern Mariana Islands,1981,
Northern Mariana Islands,1982,
Northern Mariana Islands,1983,
Northern Mariana Islands,1984,
Northern Mariana Islands,1985,
Northern Mariana Islands,1986,
Northern Mariana Islands,1987,
Northern Mariana Islands,1988,
Northern Mariana Islands,1989,
Northern Mariana Islands,1990,
Northern Mariana Islands,1991,
Northern Mariana Islands,1992,
Northern Mariana Islands,1993,
Northern Mariana Islands,1994,
Northern Mariana Islands,1995,
Northern Mariana Islands,1996,
Northern Mariana Islands,1997,
Northern Mariana Islands,1998,
Northern Mariana Islands,1999,
Northern Mariana Islands,2000,
Northern Mariana Islands,2001,
Northern Mariana Islands,2002,
Northern Mariana Islands,2003,
Northern Mariana Islands,2004,
Northern Mariana Islands,2005,
Northern Mariana Islands,2006,
Northern Mariana Islands,2007,
Northern Mariana Islands,2008,
Northern Mariana Islands,2009,
Northern Mariana Islands,2010,
Northern Mariana Islands,2011,
Northern Mariana Islands,2012,
Northern Mariana Islands,2013,
