CountryName,Year,FertilityRate
OECD members,1960,3.247
OECD members,1961,3.252
OECD members,1962,3.208
OECD members,1963,3.1910000000000003
OECD members,1964,3.173
OECD members,1965,3.08
OECD members,1966,2.925
OECD members,1967,2.917
OECD members,1968,2.872
OECD members,1969,2.835
OECD members,1970,2.799
OECD members,1971,2.736
OECD members,1972,2.6039999999999996
OECD members,1973,2.522
OECD members,1974,2.465
OECD members,1975,2.369
OECD members,1976,2.302
OECD members,1977,2.255
OECD members,1978,2.197
OECD members,1979,2.191
OECD members,1980,2.169
OECD members,1981,2.121
OECD members,1982,2.101
OECD members,1983,2.049
OECD members,1984,2.022
OECD members,1985,2.0
OECD members,1986,1.975
OECD members,1987,1.9580000000000002
OECD members,1988,1.963
OECD members,1989,1.954
OECD members,1990,1.965
OECD members,1991,1.943
OECD members,1992,1.922
OECD members,1993,1.889
OECD members,1994,1.864
OECD members,1995,1.8259999999999998
OECD members,1996,1.8159999999999998
OECD members,1997,1.8030000000000002
OECD members,1998,1.798
OECD members,1999,1.786
OECD members,2000,1.805
OECD members,2001,1.777
OECD members,2002,1.76
OECD members,2003,1.767
OECD members,2004,1.7719999999999998
OECD members,2005,1.766
OECD members,2006,1.796
OECD members,2007,1.817
OECD members,2008,1.824
OECD members,2009,1.79
OECD members,2010,1.78
OECD members,2011,1.7590000000000001
OECD members,2012,
OECD members,2013,
