CountryName,Year,FertilityRate
Oman,1960,7.247000000000001
Oman,1961,7.2479999999999976
Oman,1962,7.251
Oman,1963,7.256
Oman,1964,7.263
Oman,1965,7.271
Oman,1966,7.277
Oman,1967,7.282
Oman,1968,7.2860000000000005
Oman,1969,7.2929999999999975
Oman,1970,7.311
Oman,1971,7.35
Oman,1972,7.414
Oman,1973,7.504
Oman,1974,7.617000000000001
Oman,1975,7.747000000000001
Oman,1976,7.885
Oman,1977,8.017999999999999
Oman,1978,8.137
Oman,1979,8.232000000000001
Oman,1980,8.299
Oman,1981,8.338
Oman,1982,8.352
Oman,1983,8.34
Oman,1984,8.299
Oman,1985,8.222000000000001
Oman,1986,8.101
Oman,1987,7.933
Oman,1988,7.7189999999999985
Oman,1989,7.4620000000000015
Oman,1990,7.164
Oman,1991,6.831
Oman,1992,6.472
Oman,1993,6.098
Oman,1994,5.72
Oman,1995,5.346
Oman,1996,4.982
Oman,1997,4.631
Oman,1998,4.298
Oman,1999,3.992
Oman,2000,3.72
Oman,2001,3.488
Oman,2002,3.2969999999999997
Oman,2003,3.1439999999999997
Oman,2004,3.029
Oman,2005,2.951
Oman,2006,2.906
Oman,2007,2.887
Oman,2008,2.886
Oman,2009,2.8939999999999997
Oman,2010,2.9010000000000002
Oman,2011,2.8989999999999996
Oman,2012,
Oman,2013,
