CountryName,Year,FertilityRate
Pacific island small states,1960,6.774
Pacific island small states,1961,6.678999999999999
Pacific island small states,1962,6.572
Pacific island small states,1963,6.4570000000000025
Pacific island small states,1964,6.336
Pacific island small states,1965,6.2139999999999995
Pacific island small states,1966,6.091
Pacific island small states,1967,5.968999999999999
Pacific island small states,1968,5.848
Pacific island small states,1969,5.73
Pacific island small states,1970,5.6160000000000005
Pacific island small states,1971,5.51
Pacific island small states,1972,5.412999999999999
Pacific island small states,1973,5.327999999999999
Pacific island small states,1974,5.257999999999999
Pacific island small states,1975,5.202000000000001
Pacific island small states,1976,5.1579999999999995
Pacific island small states,1977,5.122000000000001
Pacific island small states,1978,5.085
Pacific island small states,1979,5.042
Pacific island small states,1980,4.99
Pacific island small states,1981,4.927
Pacific island small states,1982,4.855
Pacific island small states,1983,4.7780000000000005
Pacific island small states,1984,4.7010000000000005
Pacific island small states,1985,4.627
Pacific island small states,1986,4.56
Pacific island small states,1987,4.501
Pacific island small states,1988,4.449
Pacific island small states,1989,4.402
Pacific island small states,1990,4.357
Pacific island small states,1991,4.312
Pacific island small states,1992,4.263999999999999
Pacific island small states,1993,4.215
Pacific island small states,1994,4.163
Pacific island small states,1995,4.11
Pacific island small states,1996,4.056
Pacific island small states,1997,4.002
Pacific island small states,1998,3.948
Pacific island small states,1999,3.8939999999999997
Pacific island small states,2000,3.842
Pacific island small states,2001,3.7910000000000004
Pacific island small states,2002,3.741
Pacific island small states,2003,3.693
Pacific island small states,2004,3.6460000000000004
Pacific island small states,2005,3.6010000000000004
Pacific island small states,2006,3.557
Pacific island small states,2007,3.514
Pacific island small states,2008,3.472
Pacific island small states,2009,3.43
Pacific island small states,2010,3.389
Pacific island small states,2011,3.3489999999999998
Pacific island small states,2012,
Pacific island small states,2013,
