CountryName,Year,FertilityRate
Pakistan,1960,6.6
Pakistan,1961,6.6
Pakistan,1962,6.6
Pakistan,1963,6.6
Pakistan,1964,6.6
Pakistan,1965,6.6
Pakistan,1966,6.6
Pakistan,1967,6.6
Pakistan,1968,6.6
Pakistan,1969,6.6
Pakistan,1970,6.601
Pakistan,1971,6.602
Pakistan,1972,6.605
Pakistan,1973,6.608
Pakistan,1974,6.6110000000000015
Pakistan,1975,6.612
Pakistan,1976,6.608
Pakistan,1977,6.599
Pakistan,1978,6.5829999999999975
Pakistan,1979,6.561
Pakistan,1980,6.535
Pakistan,1981,6.507999999999999
Pakistan,1982,6.483
Pakistan,1983,6.46
Pakistan,1984,6.436
Pakistan,1985,6.407
Pakistan,1986,6.367000000000001
Pakistan,1987,6.31
Pakistan,1988,6.234
Pakistan,1989,6.138
Pakistan,1990,6.024
Pakistan,1991,5.899
Pakistan,1992,5.767
Pakistan,1993,5.6339999999999995
Pakistan,1994,5.499
Pakistan,1995,5.359
Pakistan,1996,5.207999999999998
Pakistan,1997,5.042
Pakistan,1998,4.8610000000000015
Pakistan,1999,4.669
Pakistan,2000,4.474
Pakistan,2001,4.29
Pakistan,2002,4.125
Pakistan,2003,3.986
Pakistan,2004,3.873
Pakistan,2005,3.785
Pakistan,2006,3.713
Pakistan,2007,3.648
Pakistan,2008,3.5810000000000004
Pakistan,2009,3.509
Pakistan,2010,3.43
Pakistan,2011,3.347
Pakistan,2012,
Pakistan,2013,
