CountryName,Year,FertilityRate
Palau,1960,
Palau,1961,
Palau,1962,
Palau,1963,
Palau,1964,
Palau,1965,
Palau,1966,
Palau,1967,
Palau,1968,
Palau,1969,
Palau,1970,
Palau,1971,
Palau,1972,
Palau,1973,
Palau,1974,
Palau,1975,
Palau,1976,
Palau,1977,
Palau,1978,
Palau,1979,
Palau,1980,
Palau,1981,
Palau,1982,
Palau,1983,
Palau,1984,
Palau,1985,
Palau,1986,
Palau,1987,
Palau,1988,
Palau,1989,
Palau,1990,2.7569999999999997
Palau,1991,
Palau,1992,
Palau,1993,
Palau,1994,
Palau,1995,2.861
Palau,1996,
Palau,1997,
Palau,1998,
Palau,1999,
Palau,2000,1.535
Palau,2001,
Palau,2002,
Palau,2003,
Palau,2004,
Palau,2005,
Palau,2006,
Palau,2007,
Palau,2008,
Palau,2009,
Palau,2010,
Palau,2011,
Palau,2012,
Palau,2013,
