CountryName,Year,FertilityRate
Papua New Guinea,1960,6.275
Papua New Guinea,1961,6.278
Papua New Guinea,1962,6.278
Papua New Guinea,1963,6.275
Papua New Guinea,1964,6.268
Papua New Guinea,1965,6.257999999999999
Papua New Guinea,1966,6.244
Papua New Guinea,1967,6.227
Papua New Guinea,1968,6.2079999999999975
Papua New Guinea,1969,6.187
Papua New Guinea,1970,6.162999999999999
Papua New Guinea,1971,6.1370000000000005
Papua New Guinea,1972,6.108
Papua New Guinea,1973,6.077000000000001
Papua New Guinea,1974,6.041
Papua New Guinea,1975,6.0
Papua New Guinea,1976,5.954
Papua New Guinea,1977,5.9
Papua New Guinea,1978,5.8389999999999995
Papua New Guinea,1979,5.771
Papua New Guinea,1980,5.694
Papua New Guinea,1981,5.609
Papua New Guinea,1982,5.515
Papua New Guinea,1983,5.415
Papua New Guinea,1984,5.312
Papua New Guinea,1985,5.21
Papua New Guinea,1986,5.11
Papua New Guinea,1987,5.018
Papua New Guinea,1988,4.934
Papua New Guinea,1989,4.8610000000000015
Papua New Guinea,1990,4.802
Papua New Guinea,1991,4.757
Papua New Guinea,1992,4.724
Papua New Guinea,1993,4.7010000000000005
Papua New Guinea,1994,4.685
Papua New Guinea,1995,4.671
Papua New Guinea,1996,4.654
Papua New Guinea,1997,4.631
Papua New Guinea,1998,4.599
Papua New Guinea,1999,4.5569999999999995
Papua New Guinea,2000,4.507
Papua New Guinea,2001,4.4510000000000005
Papua New Guinea,2002,4.3919999999999995
Papua New Guinea,2003,4.335
Papua New Guinea,2004,4.279
Papua New Guinea,2005,4.226
Papua New Guinea,2006,4.1739999999999995
Papua New Guinea,2007,4.122
Papua New Guinea,2008,4.067
Papua New Guinea,2009,4.011
Papua New Guinea,2010,3.9539999999999997
Papua New Guinea,2011,3.8960000000000004
Papua New Guinea,2012,
Papua New Guinea,2013,
