CountryName,Year,FertilityRate
Philippines,1960,7.148
Philippines,1961,7.0870000000000015
Philippines,1962,7.02
Philippines,1963,6.947
Philippines,1964,6.867000000000001
Philippines,1965,6.7810000000000015
Philippines,1966,6.689
Philippines,1967,6.5889999999999995
Philippines,1968,6.485
Philippines,1969,6.376
Philippines,1970,6.263999999999999
Philippines,1971,6.152
Philippines,1972,6.041
Philippines,1973,5.931
Philippines,1974,5.824
Philippines,1975,5.718
Philippines,1976,5.6129999999999995
Philippines,1977,5.506
Philippines,1978,5.399
Philippines,1979,5.29
Philippines,1980,5.183
Philippines,1981,5.078
Philippines,1982,4.978
Philippines,1983,4.883
Philippines,1984,4.795
Philippines,1985,4.712
Philippines,1986,4.632
Philippines,1987,4.553999999999999
Philippines,1988,4.476
Philippines,1989,4.397
Philippines,1990,4.32
Philippines,1991,4.246
Philippines,1992,4.177
Philippines,1993,4.113
Philippines,1994,4.056
Philippines,1995,4.006
Philippines,1996,3.9619999999999997
Philippines,1997,3.923
Philippines,1998,3.888
Philippines,1999,3.852
Philippines,2000,3.813
Philippines,2001,3.766
Philippines,2002,3.7089999999999996
Philippines,2003,3.642
Philippines,2004,3.5660000000000003
Philippines,2005,3.485
Philippines,2006,3.403
Philippines,2007,3.326
Philippines,2008,3.2569999999999997
Philippines,2009,3.199
Philippines,2010,3.1510000000000002
Philippines,2011,3.111
Philippines,2012,
Philippines,2013,
