CountryName,Year,FertilityRate
Poland,1960,2.98
Poland,1961,2.83
Poland,1962,2.72
Poland,1963,2.697
Poland,1964,2.57
Poland,1965,2.52
Poland,1966,2.34
Poland,1967,2.33
Poland,1968,2.24
Poland,1969,2.2
Poland,1970,2.2
Poland,1971,2.25
Poland,1972,2.235
Poland,1973,2.255
Poland,1974,2.26
Poland,1975,2.27
Poland,1976,2.302
Poland,1977,2.23
Poland,1978,2.205
Poland,1979,2.28
Poland,1980,2.276
Poland,1981,2.235
Poland,1982,2.336
Poland,1983,2.416
Poland,1984,2.372
Poland,1985,2.329
Poland,1986,2.22
Poland,1987,2.154
Poland,1988,2.13
Poland,1989,2.0780000000000003
Poland,1990,2.04
Poland,1991,2.05
Poland,1992,1.93
Poland,1993,1.85
Poland,1994,1.798
Poland,1995,1.61
Poland,1996,1.58
Poland,1997,1.5130000000000001
Poland,1998,1.44
Poland,1999,1.37
Poland,2000,1.35
Poland,2001,1.31
Poland,2002,1.25
Poland,2003,1.22
Poland,2004,1.23
Poland,2005,1.24
Poland,2006,1.27
Poland,2007,1.31
Poland,2008,1.39
Poland,2009,1.4
Poland,2010,1.38
Poland,2011,1.3
Poland,2012,
Poland,2013,
