CountryName,Year,FertilityRate
Portugal,1960,3.0060000000000002
Portugal,1961,3.1830000000000003
Portugal,1962,3.213
Portugal,1963,3.0839999999999996
Portugal,1964,3.153
Portugal,1965,3.0780000000000003
Portugal,1966,3.052
Portugal,1967,2.9960000000000004
Portugal,1968,2.9019999999999997
Portugal,1969,2.8489999999999998
Portugal,1970,2.759
Portugal,1971,2.799
Portugal,1972,2.697
Portugal,1973,2.655
Portugal,1974,2.5989999999999998
Portugal,1975,2.517
Portugal,1976,2.569
Portugal,1977,2.448
Portugal,1978,2.231
Portugal,1979,2.112
Portugal,1980,2.19
Portugal,1981,2.144
Portugal,1982,2.19
Portugal,1983,1.946
Portugal,1984,1.92
Portugal,1985,1.74
Portugal,1986,1.63
Portugal,1987,1.57
Portugal,1988,1.53
Portugal,1989,1.48
Portugal,1990,1.43
Portugal,1991,1.42
Portugal,1992,1.48
Portugal,1993,1.53
Portugal,1994,1.44
Portugal,1995,1.38
Portugal,1996,1.43
Portugal,1997,1.46
Portugal,1998,1.48
Portugal,1999,1.5
Portugal,2000,1.55
Portugal,2001,1.45
Portugal,2002,1.47
Portugal,2003,1.44
Portugal,2004,1.4
Portugal,2005,1.4
Portugal,2006,1.36
Portugal,2007,1.33
Portugal,2008,1.37
Portugal,2009,1.32
Portugal,2010,1.36
Portugal,2011,1.35
Portugal,2012,
Portugal,2013,
