CountryName,Year,FertilityRate
Puerto Rico,1960,4.657
Puerto Rico,1961,4.547
Puerto Rico,1962,4.4110000000000005
Puerto Rico,1963,4.252
Puerto Rico,1964,4.075
Puerto Rico,1965,3.888
Puerto Rico,1966,3.7030000000000003
Puerto Rico,1967,3.53
Puerto Rico,1968,3.377
Puerto Rico,1969,3.248
Puerto Rico,1970,3.1460000000000004
Puerto Rico,1971,3.068
Puerto Rico,1972,3.0060000000000002
Puerto Rico,1973,2.955
Puerto Rico,1974,2.908
Puerto Rico,1975,2.864
Puerto Rico,1976,2.818
Puerto Rico,1977,2.7689999999999997
Puerto Rico,1978,2.718
Puerto Rico,1979,2.6639999999999997
Puerto Rico,1980,2.6069999999999998
Puerto Rico,1981,2.548
Puerto Rico,1982,2.49
Puerto Rico,1983,2.436
Puerto Rico,1984,2.387
Puerto Rico,1985,2.344
Puerto Rico,1986,2.3080000000000003
Puerto Rico,1987,2.279
Puerto Rico,1988,2.256
Puerto Rico,1989,2.2359999999999998
Puerto Rico,1990,2.219
Puerto Rico,1991,2.201
Puerto Rico,1992,2.18
Puerto Rico,1993,2.154
Puerto Rico,1994,2.124
Puerto Rico,1995,2.088
Puerto Rico,1996,1.94
Puerto Rico,1997,1.9
Puerto Rico,1998,1.9
Puerto Rico,1999,1.974
Puerto Rico,2000,2.049
Puerto Rico,2001,1.935
Puerto Rico,2002,1.8319999999999999
Puerto Rico,2003,1.7619999999999998
Puerto Rico,2004,1.7819999999999998
Puerto Rico,2005,1.77
Puerto Rico,2006,1.712
Puerto Rico,2007,1.651
Puerto Rico,2008,1.652
Puerto Rico,2009,1.653
Puerto Rico,2010,1.6640000000000001
Puerto Rico,2011,1.653
Puerto Rico,2012,
Puerto Rico,2013,
