CountryName,Year,FertilityRate
Romania,1960,2.34
Romania,1961,2.173
Romania,1962,2.04
Romania,1963,2.008
Romania,1964,1.963
Romania,1965,1.9069999999999998
Romania,1966,1.9
Romania,1967,3.66
Romania,1968,3.63
Romania,1969,3.19
Romania,1970,2.886
Romania,1971,2.67
Romania,1972,2.548
Romania,1973,2.439
Romania,1974,2.71
Romania,1975,2.6
Romania,1976,2.55
Romania,1977,2.57
Romania,1978,2.52
Romania,1979,2.48
Romania,1980,2.43
Romania,1981,2.36
Romania,1982,2.166
Romania,1983,2.06
Romania,1984,2.26
Romania,1985,2.31
Romania,1986,2.386
Romania,1987,2.313
Romania,1988,2.306
Romania,1989,2.2
Romania,1990,1.84
Romania,1991,1.57
Romania,1992,1.52
Romania,1993,1.44
Romania,1994,1.41
Romania,1995,1.3430000000000002
Romania,1996,1.3
Romania,1997,1.32
Romania,1998,1.32
Romania,1999,1.3
Romania,2000,1.31
Romania,2001,1.27
Romania,2002,1.25
Romania,2003,1.27
Romania,2004,1.29
Romania,2005,1.32
Romania,2006,1.32
Romania,2007,1.3
Romania,2008,1.35
Romania,2009,1.38
Romania,2010,1.33
Romania,2011,1.25
Romania,2012,
Romania,2013,
