CountryName,Year,FertilityRate
Rwanda,1960,8.187000000000001
Rwanda,1961,8.193999999999999
Rwanda,1962,8.197000000000001
Rwanda,1963,8.198
Rwanda,1964,8.198
Rwanda,1965,8.198
Rwanda,1966,8.198
Rwanda,1967,8.201
Rwanda,1968,8.207
Rwanda,1969,8.217
Rwanda,1970,8.231
Rwanda,1971,8.252
Rwanda,1972,8.277999999999999
Rwanda,1973,8.307
Rwanda,1974,8.339
Rwanda,1975,8.37
Rwanda,1976,8.399
Rwanda,1977,8.423
Rwanda,1978,8.441
Rwanda,1979,8.449
Rwanda,1980,8.448
Rwanda,1981,8.439
Rwanda,1982,8.423
Rwanda,1983,8.397
Rwanda,1984,8.355
Rwanda,1985,8.283999999999999
Rwanda,1986,8.169
Rwanda,1987,8.004
Rwanda,1988,7.7920000000000025
Rwanda,1989,7.541
Rwanda,1990,7.271
Rwanda,1991,7.005
Rwanda,1992,6.766
Rwanda,1993,6.568
Rwanda,1994,6.416
Rwanda,1995,6.307
Rwanda,1996,6.229
Rwanda,1997,6.16
Rwanda,1998,6.085
Rwanda,1999,5.9979999999999976
Rwanda,2000,5.897
Rwanda,2001,5.7860000000000005
Rwanda,2002,5.6739999999999995
Rwanda,2003,5.566
Rwanda,2004,5.462999999999999
Rwanda,2005,5.365
Rwanda,2006,5.267
Rwanda,2007,5.167000000000002
Rwanda,2008,5.062
Rwanda,2009,4.954
Rwanda,2010,4.841
Rwanda,2011,4.728
Rwanda,2012,
Rwanda,2013,
