CountryName,Year,FertilityRate
Samoa,1960,7.651
Samoa,1961,7.645
Samoa,1962,7.63
Samoa,1963,7.604
Samoa,1964,7.567
Samoa,1965,7.519
Samoa,1966,7.4620000000000015
Samoa,1967,7.4
Samoa,1968,7.334
Samoa,1969,7.265
Samoa,1970,7.194
Samoa,1971,7.119
Samoa,1972,7.039
Samoa,1973,6.952000000000001
Samoa,1974,6.859
Samoa,1975,6.761
Samoa,1976,6.6560000000000015
Samoa,1977,6.5470000000000015
Samoa,1978,6.434
Samoa,1979,6.32
Samoa,1980,6.202999999999999
Samoa,1981,6.086
Samoa,1982,5.968
Samoa,1983,5.85
Samoa,1984,5.734
Samoa,1985,5.62
Samoa,1986,5.51
Samoa,1987,5.404
Samoa,1988,5.303
Samoa,1989,5.207999999999998
Samoa,1990,5.118
Samoa,1991,5.034
Samoa,1992,4.956
Samoa,1993,4.882
Samoa,1994,4.815
Samoa,1995,4.751
Samoa,1996,4.692
Samoa,1997,4.637
Samoa,1998,4.587
Samoa,1999,4.541
Samoa,2000,4.503
Samoa,2001,4.476
Samoa,2002,4.46
Samoa,2003,4.454
Samoa,2004,4.456
Samoa,2005,4.46
Samoa,2006,4.46
Samoa,2007,4.45
Samoa,2008,4.426
Samoa,2009,4.388999999999999
Samoa,2010,4.338
Samoa,2011,4.277
Samoa,2012,
Samoa,2013,
