CountryName,Year,FertilityRate
Sao Tome and Principe,1960,6.242000000000001
Sao Tome and Principe,1961,6.263
Sao Tome and Principe,1962,6.284
Sao Tome and Principe,1963,6.306
Sao Tome and Principe,1964,6.327000000000001
Sao Tome and Principe,1965,6.349
Sao Tome and Principe,1966,6.371
Sao Tome and Principe,1967,6.394
Sao Tome and Principe,1968,6.419
Sao Tome and Principe,1969,6.444
Sao Tome and Principe,1970,6.468
Sao Tome and Principe,1971,6.49
Sao Tome and Principe,1972,6.51
Sao Tome and Principe,1973,6.525
Sao Tome and Principe,1974,6.534
Sao Tome and Principe,1975,6.535
Sao Tome and Principe,1976,6.528
Sao Tome and Principe,1977,6.513
Sao Tome and Principe,1978,6.489
Sao Tome and Principe,1979,6.455
Sao Tome and Principe,1980,6.409
Sao Tome and Principe,1981,6.348
Sao Tome and Principe,1982,6.271
Sao Tome and Principe,1983,6.181
Sao Tome and Principe,1984,6.077999999999999
Sao Tome and Principe,1985,5.9670000000000005
Sao Tome and Principe,1986,5.849
Sao Tome and Principe,1987,5.73
Sao Tome and Principe,1988,5.6129999999999995
Sao Tome and Principe,1989,5.501
Sao Tome and Principe,1990,5.395
Sao Tome and Principe,1991,5.296
Sao Tome and Principe,1992,5.202999999999999
Sao Tome and Principe,1993,5.115
Sao Tome and Principe,1994,5.032
Sao Tome and Principe,1995,4.956
Sao Tome and Principe,1996,4.887
Sao Tome and Principe,1997,4.8260000000000005
Sao Tome and Principe,1998,4.773
Sao Tome and Principe,1999,4.727
Sao Tome and Principe,2000,4.687
Sao Tome and Principe,2001,4.654
Sao Tome and Principe,2002,4.625
Sao Tome and Principe,2003,4.598
Sao Tome and Principe,2004,4.572
Sao Tome and Principe,2005,4.542
Sao Tome and Principe,2006,4.506
Sao Tome and Principe,2007,4.462
Sao Tome and Principe,2008,4.4110000000000005
Sao Tome and Principe,2009,4.352
Sao Tome and Principe,2010,4.287
Sao Tome and Principe,2011,4.217
Sao Tome and Principe,2012,
Sao Tome and Principe,2013,
