CountryName,Year,FertilityRate
Senegal,1960,6.9510000000000005
Senegal,1961,6.994
Senegal,1962,7.0360000000000005
Senegal,1963,7.075
Senegal,1964,7.114
Senegal,1965,7.152
Senegal,1966,7.189
Senegal,1967,7.227
Senegal,1968,7.266
Senegal,1969,7.303
Senegal,1970,7.338999999999999
Senegal,1971,7.374
Senegal,1972,7.405
Senegal,1973,7.432
Senegal,1974,7.452000000000001
Senegal,1975,7.465
Senegal,1976,7.468
Senegal,1977,7.461
Senegal,1978,7.445
Senegal,1979,7.4179999999999975
Senegal,1980,7.3820000000000014
Senegal,1981,7.3370000000000015
Senegal,1982,7.284
Senegal,1983,7.225
Senegal,1984,7.16
Senegal,1985,7.087999999999999
Senegal,1986,7.01
Senegal,1987,6.925
Senegal,1988,6.8320000000000025
Senegal,1989,6.734
Senegal,1990,6.629
Senegal,1991,6.519
Senegal,1992,6.404
Senegal,1993,6.287000000000001
Senegal,1994,6.169
Senegal,1995,6.053999999999999
Senegal,1996,5.943
Senegal,1997,5.8370000000000015
Senegal,1998,5.737
Senegal,1999,5.645
Senegal,2000,5.561
Senegal,2001,5.484
Senegal,2002,5.412999999999999
Senegal,2003,5.346
Senegal,2004,5.285
Senegal,2005,5.229
Senegal,2006,5.181
Senegal,2007,5.14
Senegal,2008,5.107
Senegal,2009,5.078
Senegal,2010,5.05
Senegal,2011,5.019
Senegal,2012,
Senegal,2013,
