CountryName,Year,FertilityRate
Serbia,1960,
Serbia,1961,2.5
Serbia,1962,
Serbia,1963,
Serbia,1964,
Serbia,1965,
Serbia,1966,
Serbia,1967,
Serbia,1968,
Serbia,1969,
Serbia,1970,
Serbia,1971,2.3
Serbia,1972,
Serbia,1973,
Serbia,1974,
Serbia,1975,
Serbia,1976,
Serbia,1977,
Serbia,1978,
Serbia,1979,
Serbia,1980,
Serbia,1981,2.1
Serbia,1982,
Serbia,1983,
Serbia,1984,
Serbia,1985,
Serbia,1986,
Serbia,1987,
Serbia,1988,
Serbia,1989,
Serbia,1990,
Serbia,1991,1.8
Serbia,1992,
Serbia,1993,
Serbia,1994,
Serbia,1995,1.7
Serbia,1996,
Serbia,1997,1.6
Serbia,1998,
Serbia,1999,
Serbia,2000,1.48
Serbia,2001,1.58
Serbia,2002,1.57
Serbia,2003,1.59
Serbia,2004,1.57
Serbia,2005,1.45
Serbia,2006,1.43
Serbia,2007,1.38
Serbia,2008,1.4
Serbia,2009,1.44
Serbia,2010,1.4
Serbia,2011,1.36
Serbia,2012,
Serbia,2013,
