CountryName,Year,FertilityRate
Seychelles,1960,
Seychelles,1961,
Seychelles,1962,
Seychelles,1963,
Seychelles,1964,
Seychelles,1965,
Seychelles,1966,
Seychelles,1967,
Seychelles,1968,
Seychelles,1969,
Seychelles,1970,
Seychelles,1971,
Seychelles,1972,
Seychelles,1973,
Seychelles,1974,
Seychelles,1975,
Seychelles,1976,4.5
Seychelles,1977,
Seychelles,1978,
Seychelles,1979,
Seychelles,1980,
Seychelles,1981,
Seychelles,1982,3.5
Seychelles,1983,
Seychelles,1984,
Seychelles,1985,
Seychelles,1986,
Seychelles,1987,3.0
Seychelles,1988,
Seychelles,1989,
Seychelles,1990,
Seychelles,1991,
Seychelles,1992,2.696
Seychelles,1993,
Seychelles,1994,
Seychelles,1995,
Seychelles,1996,
Seychelles,1997,2.1
Seychelles,1998,2.04
Seychelles,1999,2.04
Seychelles,2000,2.08
Seychelles,2001,1.98
Seychelles,2002,2.04
Seychelles,2003,2.1
Seychelles,2004,2.0
Seychelles,2005,2.2
Seychelles,2006,2.1
Seychelles,2007,2.24
Seychelles,2008,2.3
Seychelles,2009,2.4
Seychelles,2010,2.1
Seychelles,2011,2.1
Seychelles,2012,
Seychelles,2013,
