CountryName,Year,FertilityRate
Sierra Leone,1960,6.0329999999999995
Sierra Leone,1961,6.093
Sierra Leone,1962,6.1579999999999995
Sierra Leone,1963,6.229
Sierra Leone,1964,6.3020000000000005
Sierra Leone,1965,6.376
Sierra Leone,1966,6.449
Sierra Leone,1967,6.519
Sierra Leone,1968,6.5829999999999975
Sierra Leone,1969,6.643
Sierra Leone,1970,6.697
Sierra Leone,1971,6.7479999999999976
Sierra Leone,1972,6.797999999999999
Sierra Leone,1973,6.847
Sierra Leone,1974,6.894
Sierra Leone,1975,6.938
Sierra Leone,1976,6.979
Sierra Leone,1977,7.013
Sierra Leone,1978,7.037999999999999
Sierra Leone,1979,7.053999999999999
Sierra Leone,1980,7.058
Sierra Leone,1981,7.047999999999999
Sierra Leone,1982,7.025
Sierra Leone,1983,6.99
Sierra Leone,1984,6.945
Sierra Leone,1985,6.888999999999999
Sierra Leone,1986,6.824
Sierra Leone,1987,6.752999999999999
Sierra Leone,1988,6.678
Sierra Leone,1989,6.601
Sierra Leone,1990,6.525
Sierra Leone,1991,6.452999999999999
Sierra Leone,1992,6.385
Sierra Leone,1993,6.32
Sierra Leone,1994,6.26
Sierra Leone,1995,6.204
Sierra Leone,1996,6.15
Sierra Leone,1997,6.098
Sierra Leone,1998,6.0429999999999975
Sierra Leone,1999,5.985
Sierra Leone,2000,5.92
Sierra Leone,2001,5.845
Sierra Leone,2002,5.7589999999999995
Sierra Leone,2003,5.664
Sierra Leone,2004,5.56
Sierra Leone,2005,5.4510000000000005
Sierra Leone,2006,5.34
Sierra Leone,2007,5.232
Sierra Leone,2008,5.127999999999999
Sierra Leone,2009,5.032
Sierra Leone,2010,4.9430000000000005
Sierra Leone,2011,4.8610000000000015
Sierra Leone,2012,
Sierra Leone,2013,
