CountryName,Year,FertilityRate
Singapore,1960,5.454
Singapore,1961,5.256
Singapore,1962,5.2
Singapore,1963,5.007
Singapore,1964,4.853
Singapore,1965,4.698
Singapore,1966,4.498
Singapore,1967,3.946
Singapore,1968,3.562
Singapore,1969,3.2460000000000004
Singapore,1970,3.0860000000000003
Singapore,1971,3.0380000000000003
Singapore,1972,3.048
Singapore,1973,2.8
Singapore,1974,2.359
Singapore,1975,2.079
Singapore,1976,2.1109999999999998
Singapore,1977,1.82
Singapore,1978,1.7590000000000001
Singapore,1979,1.791
Singapore,1980,1.7369999999999999
Singapore,1981,1.723
Singapore,1982,1.706
Singapore,1983,1.608
Singapore,1984,1.615
Singapore,1985,1.614
Singapore,1986,1.433
Singapore,1987,1.621
Singapore,1988,1.956
Singapore,1989,1.754
Singapore,1990,1.865
Singapore,1991,1.77
Singapore,1992,1.76
Singapore,1993,1.778
Singapore,1994,1.75
Singapore,1995,1.71
Singapore,1996,1.696
Singapore,1997,1.635
Singapore,1998,1.494
Singapore,1999,1.475
Singapore,2000,
Singapore,2001,1.41
Singapore,2002,1.37
Singapore,2003,1.27
Singapore,2004,1.26
Singapore,2005,1.26
Singapore,2006,1.28
Singapore,2007,1.29
Singapore,2008,1.28
Singapore,2009,1.22
Singapore,2010,1.15
Singapore,2011,1.2
Singapore,2012,
Singapore,2013,
