CountryName,Year,FertilityRate
Slovak Republic,1960,3.04
Slovak Republic,1961,2.96
Slovak Republic,1962,2.83
Slovak Republic,1963,2.92
Slovak Republic,1964,2.89
Slovak Republic,1965,2.78
Slovak Republic,1966,2.66
Slovak Republic,1967,2.48
Slovak Republic,1968,2.39
Slovak Republic,1969,2.43
Slovak Republic,1970,2.41
Slovak Republic,1971,2.43
Slovak Republic,1972,2.49
Slovak Republic,1973,2.56
Slovak Republic,1974,2.61
Slovak Republic,1975,2.55
Slovak Republic,1976,2.55
Slovak Republic,1977,2.49
Slovak Republic,1978,2.47
Slovak Republic,1979,2.45
Slovak Republic,1980,2.32
Slovak Republic,1981,2.29
Slovak Republic,1982,2.28
Slovak Republic,1983,2.28
Slovak Republic,1984,2.26
Slovak Republic,1985,2.26
Slovak Republic,1986,2.2
Slovak Republic,1987,2.14
Slovak Republic,1988,2.13
Slovak Republic,1989,2.07
Slovak Republic,1990,2.09
Slovak Republic,1991,2.05
Slovak Republic,1992,1.93
Slovak Republic,1993,1.87
Slovak Republic,1994,1.67
Slovak Republic,1995,1.52
Slovak Republic,1996,1.47
Slovak Republic,1997,1.43
Slovak Republic,1998,1.37
Slovak Republic,1999,1.33
Slovak Republic,2000,1.3
Slovak Republic,2001,1.2
Slovak Republic,2002,1.19
Slovak Republic,2003,1.2
Slovak Republic,2004,1.24
Slovak Republic,2005,1.25
Slovak Republic,2006,1.24
Slovak Republic,2007,1.25
Slovak Republic,2008,1.32
Slovak Republic,2009,1.41
Slovak Republic,2010,1.4
Slovak Republic,2011,1.45
Slovak Republic,2012,
Slovak Republic,2013,
