CountryName,Year,FertilityRate
Slovenia,1960,2.324
Slovenia,1961,2.325
Slovenia,1962,2.33
Slovenia,1963,2.336
Slovenia,1964,2.34
Slovenia,1965,2.3409999999999997
Slovenia,1966,2.336
Slovenia,1967,2.326
Slovenia,1968,2.312
Slovenia,1969,2.294
Slovenia,1970,2.273
Slovenia,1971,2.255
Slovenia,1972,2.239
Slovenia,1973,2.227
Slovenia,1974,2.218
Slovenia,1975,2.209
Slovenia,1976,2.195
Slovenia,1977,2.1719999999999997
Slovenia,1978,2.138
Slovenia,1979,2.093
Slovenia,1980,2.039
Slovenia,1981,1.9780000000000002
Slovenia,1982,1.93
Slovenia,1983,1.81
Slovenia,1984,1.74
Slovenia,1985,1.71
Slovenia,1986,1.67
Slovenia,1987,1.65
Slovenia,1988,1.63
Slovenia,1989,1.52
Slovenia,1990,1.46
Slovenia,1991,1.42
Slovenia,1992,1.33
Slovenia,1993,1.33
Slovenia,1994,1.32
Slovenia,1995,1.29
Slovenia,1996,1.28
Slovenia,1997,1.25
Slovenia,1998,1.23
Slovenia,1999,1.21
Slovenia,2000,1.26
Slovenia,2001,1.21
Slovenia,2002,1.21
Slovenia,2003,1.2
Slovenia,2004,1.25
Slovenia,2005,1.26
Slovenia,2006,1.31
Slovenia,2007,1.38
Slovenia,2008,1.53
Slovenia,2009,1.53
Slovenia,2010,1.57
Slovenia,2011,1.56
Slovenia,2012,
Slovenia,2013,
