CountryName,Year,FertilityRate
Solomon Islands,1960,6.388
Solomon Islands,1961,6.385
Solomon Islands,1962,6.382999999999999
Solomon Islands,1963,6.385
Solomon Islands,1964,6.394
Solomon Islands,1965,6.419
Solomon Islands,1966,6.47
Solomon Islands,1967,6.5489999999999995
Solomon Islands,1968,6.655
Solomon Islands,1969,6.7810000000000015
Solomon Islands,1970,6.914
Solomon Islands,1971,7.04
Solomon Islands,1972,7.145
Solomon Islands,1973,7.216
Solomon Islands,1974,7.2479999999999976
Solomon Islands,1975,7.2360000000000015
Solomon Islands,1976,7.182
Solomon Islands,1977,7.096
Solomon Islands,1978,6.99
Solomon Islands,1979,6.871
Solomon Islands,1980,6.7479999999999976
Solomon Islands,1981,6.6320000000000014
Solomon Islands,1982,6.525
Solomon Islands,1983,6.431
Solomon Islands,1984,6.349
Solomon Islands,1985,6.278
Solomon Islands,1986,6.211
Solomon Islands,1987,6.138999999999999
Solomon Islands,1988,6.056
Solomon Islands,1989,5.961
Solomon Islands,1990,5.851
Solomon Islands,1991,5.728
Solomon Islands,1992,5.596
Solomon Islands,1993,5.461
Solomon Islands,1994,5.3260000000000005
Solomon Islands,1995,5.197
Solomon Islands,1996,5.077
Solomon Islands,1997,4.968
Solomon Islands,1998,4.872
Solomon Islands,1999,4.789
Solomon Islands,2000,4.72
Solomon Islands,2001,4.665
Solomon Islands,2002,4.618
Solomon Islands,2003,4.578
Solomon Islands,2004,4.54
Solomon Islands,2005,4.502
Solomon Islands,2006,4.459
Solomon Islands,2007,4.412
Solomon Islands,2008,4.359
Solomon Islands,2009,4.3
Solomon Islands,2010,4.2360000000000015
Solomon Islands,2011,4.168
Solomon Islands,2012,
Solomon Islands,2013,
