CountryName,Year,FertilityRate
Somalia,1960,7.25
Somalia,1961,7.2520000000000024
Somalia,1962,7.255
Somalia,1963,7.257999999999999
Somalia,1964,7.261
Somalia,1965,7.261
Somalia,1966,7.2570000000000014
Somalia,1967,7.2479999999999976
Somalia,1968,7.232
Somalia,1969,7.209
Somalia,1970,7.182
Somalia,1971,7.151
Somalia,1972,7.117999999999999
Somalia,1973,7.086
Somalia,1974,7.057
Somalia,1975,7.0329999999999995
Somalia,1976,7.016
Somalia,1977,7.005
Somalia,1978,7.0
Somalia,1979,7.002999999999999
Somalia,1980,7.013
Somalia,1981,7.03
Somalia,1982,7.053
Somalia,1983,7.08
Somalia,1984,7.112
Somalia,1985,7.149
Somalia,1986,7.19
Somalia,1987,7.237
Somalia,1988,7.2879999999999985
Somalia,1989,7.341
Somalia,1990,7.397
Somalia,1991,7.455
Somalia,1992,7.5120000000000005
Somalia,1993,7.567
Somalia,1994,7.6160000000000005
Somalia,1995,7.655
Somalia,1996,7.6789999999999985
Somalia,1997,7.687
Somalia,1998,7.678
Somalia,1999,7.651
Somalia,2000,7.61
Somalia,2001,7.556
Somalia,2002,7.495
Somalia,2003,7.4289999999999985
Somalia,2004,7.3610000000000015
Somalia,2005,7.2920000000000025
Somalia,2006,7.2189999999999985
Somalia,2007,7.14
Somalia,2008,7.056
Somalia,2009,6.965
Somalia,2010,6.869
Somalia,2011,6.769
Somalia,2012,
Somalia,2013,
