CountryName,Year,FertilityRate
Spain,1960,2.862
Spain,1961,2.765
Spain,1962,2.7960000000000003
Spain,1963,2.875
Spain,1964,3.011
Spain,1965,2.937
Spain,1966,2.912
Spain,1967,2.9389999999999996
Spain,1968,2.87
Spain,1969,2.858
Spain,1970,2.8360000000000003
Spain,1971,2.859
Spain,1972,2.842
Spain,1973,2.823
Spain,1974,2.866
Spain,1975,2.7880000000000003
Spain,1976,2.786
Spain,1977,2.6489999999999996
Spain,1978,2.524
Spain,1979,2.3409999999999997
Spain,1980,2.217
Spain,1981,2.031
Spain,1982,1.936
Spain,1983,1.7919999999999998
Spain,1984,1.72
Spain,1985,1.63
Spain,1986,1.6
Spain,1987,1.47
Spain,1988,1.42
Spain,1989,1.36
Spain,1990,1.33
Spain,1991,1.31
Spain,1992,1.32
Spain,1993,1.27
Spain,1994,1.2
Spain,1995,1.18
Spain,1996,1.15
Spain,1997,1.15
Spain,1998,1.16
Spain,1999,1.19
Spain,2000,1.23
Spain,2001,1.24
Spain,2002,1.26
Spain,2003,1.31
Spain,2004,1.32
Spain,2005,1.34
Spain,2006,1.37
Spain,2007,1.39
Spain,2008,1.46
Spain,2009,1.39
Spain,2010,1.38
Spain,2011,1.36
Spain,2012,
Spain,2013,
