CountryName,Year,FertilityRate
Sri Lanka,1960,5.541
Sri Lanka,1961,5.421
Sri Lanka,1962,5.2989999999999995
Sri Lanka,1963,5.18
Sri Lanka,1964,5.067
Sri Lanka,1965,4.959
Sri Lanka,1966,4.849
Sri Lanka,1967,4.734
Sri Lanka,1968,4.609
Sri Lanka,1969,4.477
Sri Lanka,1970,4.342
Sri Lanka,1971,4.208
Sri Lanka,1972,4.083
Sri Lanka,1973,3.97
Sri Lanka,1974,3.87
Sri Lanka,1975,3.783
Sri Lanka,1976,3.705
Sri Lanka,1977,3.633
Sri Lanka,1978,3.562
Sri Lanka,1979,3.488
Sri Lanka,1980,3.408
Sri Lanka,1981,3.319
Sri Lanka,1982,3.2230000000000003
Sri Lanka,1983,3.12
Sri Lanka,1984,3.012
Sri Lanka,1985,2.904
Sri Lanka,1986,2.8
Sri Lanka,1987,2.7030000000000003
Sri Lanka,1988,2.617
Sri Lanka,1989,2.544
Sri Lanka,1990,2.483
Sri Lanka,1991,2.4330000000000003
Sri Lanka,1992,2.39
Sri Lanka,1993,2.353
Sri Lanka,1994,2.32
Sri Lanka,1995,2.291
Sri Lanka,1996,2.2680000000000002
Sri Lanka,1997,2.251
Sri Lanka,1998,2.24
Sri Lanka,1999,2.2359999999999998
Sri Lanka,2000,2.237
Sri Lanka,2001,2.2430000000000003
Sri Lanka,2002,2.252
Sri Lanka,2003,2.263
Sri Lanka,2004,2.274
Sri Lanka,2005,2.286
Sri Lanka,2006,2.298
Sri Lanka,2007,2.311
Sri Lanka,2008,2.323
Sri Lanka,2009,2.335
Sri Lanka,2010,2.343
Sri Lanka,2011,2.347
Sri Lanka,2012,
Sri Lanka,2013,
