CountryName,Year,FertilityRate
St. Kitts and Nevis,1960,
St. Kitts and Nevis,1961,
St. Kitts and Nevis,1962,
St. Kitts and Nevis,1963,
St. Kitts and Nevis,1964,
St. Kitts and Nevis,1965,
St. Kitts and Nevis,1966,
St. Kitts and Nevis,1967,
St. Kitts and Nevis,1968,
St. Kitts and Nevis,1969,
St. Kitts and Nevis,1970,
St. Kitts and Nevis,1971,
St. Kitts and Nevis,1972,3.5
St. Kitts and Nevis,1973,
St. Kitts and Nevis,1974,
St. Kitts and Nevis,1975,
St. Kitts and Nevis,1976,
St. Kitts and Nevis,1977,
St. Kitts and Nevis,1978,
St. Kitts and Nevis,1979,
St. Kitts and Nevis,1980,
St. Kitts and Nevis,1981,
St. Kitts and Nevis,1982,3.3
St. Kitts and Nevis,1983,
St. Kitts and Nevis,1984,
St. Kitts and Nevis,1985,
St. Kitts and Nevis,1986,
St. Kitts and Nevis,1987,2.8
St. Kitts and Nevis,1988,
St. Kitts and Nevis,1989,
St. Kitts and Nevis,1990,
St. Kitts and Nevis,1991,
St. Kitts and Nevis,1992,2.6
St. Kitts and Nevis,1993,
St. Kitts and Nevis,1994,
St. Kitts and Nevis,1995,
St. Kitts and Nevis,1996,
St. Kitts and Nevis,1997,2.4
St. Kitts and Nevis,1998,
St. Kitts and Nevis,1999,
St. Kitts and Nevis,2000,
St. Kitts and Nevis,2001,
St. Kitts and Nevis,2002,2.1069999999999998
St. Kitts and Nevis,2003,
St. Kitts and Nevis,2004,
St. Kitts and Nevis,2005,
St. Kitts and Nevis,2006,
St. Kitts and Nevis,2007,
St. Kitts and Nevis,2008,
St. Kitts and Nevis,2009,
St. Kitts and Nevis,2010,
St. Kitts and Nevis,2011,
St. Kitts and Nevis,2012,
St. Kitts and Nevis,2013,
