CountryName,Year,FertilityRate
St. Lucia,1960,6.9670000000000005
St. Lucia,1961,6.931
St. Lucia,1962,6.88
St. Lucia,1963,6.8210000000000015
St. Lucia,1964,6.757999999999999
St. Lucia,1965,6.688
St. Lucia,1966,6.607
St. Lucia,1967,6.507999999999999
St. Lucia,1968,6.3870000000000005
St. Lucia,1969,6.249
St. Lucia,1970,6.101
St. Lucia,1971,5.952999999999999
St. Lucia,1972,5.813
St. Lucia,1973,5.686
St. Lucia,1974,5.5710000000000015
St. Lucia,1975,5.4620000000000015
St. Lucia,1976,5.347
St. Lucia,1977,5.216
St. Lucia,1978,5.064
St. Lucia,1979,4.891
St. Lucia,1980,4.703
St. Lucia,1981,4.512
St. Lucia,1982,4.328
St. Lucia,1983,4.1610000000000005
St. Lucia,1984,4.013999999999999
St. Lucia,1985,3.888
St. Lucia,1986,3.78
St. Lucia,1987,3.6830000000000003
St. Lucia,1988,3.589
St. Lucia,1989,3.495
St. Lucia,1990,3.398
St. Lucia,1991,3.298
St. Lucia,1992,3.195
St. Lucia,1993,3.09
St. Lucia,1994,2.983
St. Lucia,1995,2.873
St. Lucia,1996,2.76
St. Lucia,1997,2.6439999999999997
St. Lucia,1998,2.528
St. Lucia,1999,2.416
St. Lucia,2000,2.313
St. Lucia,2001,2.224
St. Lucia,2002,2.1519999999999997
St. Lucia,2003,2.0980000000000003
St. Lucia,2004,2.062
St. Lucia,2005,2.04
St. Lucia,2006,2.029
St. Lucia,2007,2.022
St. Lucia,2008,2.013
St. Lucia,2009,2.0
St. Lucia,2010,1.982
St. Lucia,2011,1.96
St. Lucia,2012,
St. Lucia,2013,
