CountryName,Year,FertilityRate
St. Martin (French part),1960,
St. Martin (French part),1961,
St. Martin (French part),1962,
St. Martin (French part),1963,
St. Martin (French part),1964,
St. Martin (French part),1965,
St. Martin (French part),1966,
St. Martin (French part),1967,
St. Martin (French part),1968,
St. Martin (French part),1969,
St. Martin (French part),1970,
St. Martin (French part),1971,
St. Martin (French part),1972,
St. Martin (French part),1973,
St. Martin (French part),1974,
St. Martin (French part),1975,
St. Martin (French part),1976,
St. Martin (French part),1977,
St. Martin (French part),1978,
St. Martin (French part),1979,
St. Martin (French part),1980,
St. Martin (French part),1981,
St. Martin (French part),1982,2.4
St. Martin (French part),1983,2.4
St. Martin (French part),1984,2.3
St. Martin (French part),1985,2.2
St. Martin (French part),1986,2.1
St. Martin (French part),1987,2.1
St. Martin (French part),1988,2.1
St. Martin (French part),1989,2.2
St. Martin (French part),1990,2.1
St. Martin (French part),1991,2.1
St. Martin (French part),1992,1.9
St. Martin (French part),1993,1.8
St. Martin (French part),1994,1.8
St. Martin (French part),1995,1.8
St. Martin (French part),1996,1.8
St. Martin (French part),1997,1.8
St. Martin (French part),1998,1.8
St. Martin (French part),1999,1.8
St. Martin (French part),2000,1.8
St. Martin (French part),2001,1.8
St. Martin (French part),2002,1.8
St. Martin (French part),2003,1.8
St. Martin (French part),2004,1.8
St. Martin (French part),2005,1.8
St. Martin (French part),2006,1.8
St. Martin (French part),2007,1.8
St. Martin (French part),2008,1.8
St. Martin (French part),2009,1.8
St. Martin (French part),2010,1.8
St. Martin (French part),2011,1.8
St. Martin (French part),2012,
St. Martin (French part),2013,
