CountryName,Year,FertilityRate
St. Vincent and the Grenadines,1960,7.224
St. Vincent and the Grenadines,1961,7.155
St. Vincent and the Grenadines,1962,7.074
St. Vincent and the Grenadines,1963,6.981
St. Vincent and the Grenadines,1964,6.876
St. Vincent and the Grenadines,1965,6.76
St. Vincent and the Grenadines,1966,6.6320000000000014
St. Vincent and the Grenadines,1967,6.494
St. Vincent and the Grenadines,1968,6.345
St. Vincent and the Grenadines,1969,6.185
St. Vincent and the Grenadines,1970,6.013999999999999
St. Vincent and the Grenadines,1971,5.827999999999999
St. Vincent and the Grenadines,1972,5.629
St. Vincent and the Grenadines,1973,5.4170000000000025
St. Vincent and the Grenadines,1974,5.197
St. Vincent and the Grenadines,1975,4.973
St. Vincent and the Grenadines,1976,4.752
St. Vincent and the Grenadines,1977,4.54
St. Vincent and the Grenadines,1978,4.3389999999999995
St. Vincent and the Grenadines,1979,4.154
St. Vincent and the Grenadines,1980,3.985
St. Vincent and the Grenadines,1981,3.832
St. Vincent and the Grenadines,1982,3.6919999999999997
St. Vincent and the Grenadines,1983,3.5610000000000004
St. Vincent and the Grenadines,1984,3.4389999999999996
St. Vincent and the Grenadines,1985,3.3280000000000003
St. Vincent and the Grenadines,1986,3.23
St. Vincent and the Grenadines,1987,3.1439999999999997
St. Vincent and the Grenadines,1988,3.072
St. Vincent and the Grenadines,1989,3.01
St. Vincent and the Grenadines,1990,2.9560000000000004
St. Vincent and the Grenadines,1991,2.907
St. Vincent and the Grenadines,1992,2.86
St. Vincent and the Grenadines,1993,2.8110000000000004
St. Vincent and the Grenadines,1994,2.76
St. Vincent and the Grenadines,1995,2.7030000000000003
St. Vincent and the Grenadines,1996,2.641
St. Vincent and the Grenadines,1997,2.576
St. Vincent and the Grenadines,1998,2.509
St. Vincent and the Grenadines,1999,2.4419999999999997
St. Vincent and the Grenadines,2000,2.379
St. Vincent and the Grenadines,2001,2.3209999999999997
St. Vincent and the Grenadines,2002,2.271
St. Vincent and the Grenadines,2003,2.229
St. Vincent and the Grenadines,2004,2.1959999999999997
St. Vincent and the Grenadines,2005,2.17
St. Vincent and the Grenadines,2006,2.149
St. Vincent and the Grenadines,2007,2.131
St. Vincent and the Grenadines,2008,2.112
St. Vincent and the Grenadines,2009,2.092
St. Vincent and the Grenadines,2010,2.07
St. Vincent and the Grenadines,2011,2.046
St. Vincent and the Grenadines,2012,
St. Vincent and the Grenadines,2013,
