CountryName,Year,FertilityRate
Sub-Saharan Africa (IFC classification),1960,
Sub-Saharan Africa (IFC classification),1961,
Sub-Saharan Africa (IFC classification),1962,
Sub-Saharan Africa (IFC classification),1963,
Sub-Saharan Africa (IFC classification),1964,
Sub-Saharan Africa (IFC classification),1965,
Sub-Saharan Africa (IFC classification),1966,
Sub-Saharan Africa (IFC classification),1967,
Sub-Saharan Africa (IFC classification),1968,
Sub-Saharan Africa (IFC classification),1969,
Sub-Saharan Africa (IFC classification),1970,
Sub-Saharan Africa (IFC classification),1971,
Sub-Saharan Africa (IFC classification),1972,
Sub-Saharan Africa (IFC classification),1973,
Sub-Saharan Africa (IFC classification),1974,
Sub-Saharan Africa (IFC classification),1975,
Sub-Saharan Africa (IFC classification),1976,
Sub-Saharan Africa (IFC classification),1977,
Sub-Saharan Africa (IFC classification),1978,
Sub-Saharan Africa (IFC classification),1979,
Sub-Saharan Africa (IFC classification),1980,
Sub-Saharan Africa (IFC classification),1981,
Sub-Saharan Africa (IFC classification),1982,
Sub-Saharan Africa (IFC classification),1983,
Sub-Saharan Africa (IFC classification),1984,
Sub-Saharan Africa (IFC classification),1985,
Sub-Saharan Africa (IFC classification),1986,
Sub-Saharan Africa (IFC classification),1987,
Sub-Saharan Africa (IFC classification),1988,
Sub-Saharan Africa (IFC classification),1989,
Sub-Saharan Africa (IFC classification),1990,
Sub-Saharan Africa (IFC classification),1991,
Sub-Saharan Africa (IFC classification),1992,
Sub-Saharan Africa (IFC classification),1993,
Sub-Saharan Africa (IFC classification),1994,
Sub-Saharan Africa (IFC classification),1995,
Sub-Saharan Africa (IFC classification),1996,
Sub-Saharan Africa (IFC classification),1997,
Sub-Saharan Africa (IFC classification),1998,
Sub-Saharan Africa (IFC classification),1999,
Sub-Saharan Africa (IFC classification),2000,
Sub-Saharan Africa (IFC classification),2001,
Sub-Saharan Africa (IFC classification),2002,
Sub-Saharan Africa (IFC classification),2003,
Sub-Saharan Africa (IFC classification),2004,
Sub-Saharan Africa (IFC classification),2005,
Sub-Saharan Africa (IFC classification),2006,
Sub-Saharan Africa (IFC classification),2007,
Sub-Saharan Africa (IFC classification),2008,
Sub-Saharan Africa (IFC classification),2009,
Sub-Saharan Africa (IFC classification),2010,
Sub-Saharan Africa (IFC classification),2011,
Sub-Saharan Africa (IFC classification),2012,
Sub-Saharan Africa (IFC classification),2013,
