CountryName,Year,FertilityRate
Swaziland,1960,6.7170000000000005
Swaziland,1961,6.73
Swaziland,1962,6.745
Swaziland,1963,6.763
Swaziland,1964,6.782
Swaziland,1965,6.8020000000000005
Swaziland,1966,6.822
Swaziland,1967,6.841
Swaziland,1968,6.857
Swaziland,1969,6.869
Swaziland,1970,6.875
Swaziland,1971,6.876
Swaziland,1972,6.87
Swaziland,1973,6.858
Swaziland,1974,6.84
Swaziland,1975,6.817
Swaziland,1976,6.79
Swaziland,1977,6.761
Swaziland,1978,6.729
Swaziland,1979,6.695
Swaziland,1980,6.6579999999999995
Swaziland,1981,6.617999999999999
Swaziland,1982,6.5729999999999995
Swaziland,1983,6.52
Swaziland,1984,6.459
Swaziland,1985,6.3839999999999995
Swaziland,1986,6.291
Swaziland,1987,6.18
Swaziland,1988,6.051
Swaziland,1989,5.905
Swaziland,1990,5.744
Swaziland,1991,5.5710000000000015
Swaziland,1992,5.392
Swaziland,1993,5.211
Swaziland,1994,5.035
Swaziland,1995,4.8660000000000005
Swaziland,1996,4.709
Swaziland,1997,4.564
Swaziland,1998,4.4319999999999995
Swaziland,1999,4.313
Swaziland,2000,4.209
Swaziland,2001,4.121
Swaziland,2002,4.046
Swaziland,2003,3.9819999999999998
Swaziland,2004,3.925
Swaziland,2005,3.8710000000000004
Swaziland,2006,3.818
Swaziland,2007,3.761
Swaziland,2008,3.699
Swaziland,2009,3.6319999999999997
Swaziland,2010,3.5589999999999997
Swaziland,2011,3.483
Swaziland,2012,
Swaziland,2013,
