CountryName,Year,FertilityRate
Syrian Arab Republic,1960,7.4670000000000005
Syrian Arab Republic,1961,7.497000000000001
Syrian Arab Republic,1962,7.522
Syrian Arab Republic,1963,7.541
Syrian Arab Republic,1964,7.555
Syrian Arab Republic,1965,7.564
Syrian Arab Republic,1966,7.569
Syrian Arab Republic,1967,7.572
Syrian Arab Republic,1968,7.574
Syrian Arab Republic,1969,7.574
Syrian Arab Republic,1970,7.572
Syrian Arab Republic,1971,7.566
Syrian Arab Republic,1972,7.556
Syrian Arab Republic,1973,7.537000000000001
Syrian Arab Republic,1974,7.51
Syrian Arab Republic,1975,7.472
Syrian Arab Republic,1976,7.4220000000000015
Syrian Arab Republic,1977,7.359
Syrian Arab Republic,1978,7.285
Syrian Arab Republic,1979,7.197
Syrian Arab Republic,1980,7.093999999999999
Syrian Arab Republic,1981,6.976
Syrian Arab Republic,1982,6.843
Syrian Arab Republic,1983,6.695
Syrian Arab Republic,1984,6.534
Syrian Arab Republic,1985,6.359
Syrian Arab Republic,1986,6.1679999999999975
Syrian Arab Republic,1987,5.962999999999999
Syrian Arab Republic,1988,5.7479999999999976
Syrian Arab Republic,1989,5.529
Syrian Arab Republic,1990,5.313
Syrian Arab Republic,1991,5.11
Syrian Arab Republic,1992,4.925
Syrian Arab Republic,1993,4.76
Syrian Arab Republic,1994,4.618
Syrian Arab Republic,1995,4.495
Syrian Arab Republic,1996,4.386
Syrian Arab Republic,1997,4.282
Syrian Arab Republic,1998,4.178
Syrian Arab Republic,1999,4.07
Syrian Arab Republic,2000,3.958
Syrian Arab Republic,2001,3.841
Syrian Arab Republic,2002,3.7239999999999998
Syrian Arab Republic,2003,3.61
Syrian Arab Republic,2004,3.5010000000000003
Syrian Arab Republic,2005,3.4010000000000002
Syrian Arab Republic,2006,3.313
Syrian Arab Republic,2007,3.237
Syrian Arab Republic,2008,3.173
Syrian Arab Republic,2009,3.1210000000000004
Syrian Arab Republic,2010,3.0780000000000003
Syrian Arab Republic,2011,3.04
Syrian Arab Republic,2012,
Syrian Arab Republic,2013,
