CountryName,Year,FertilityRate
Tajikistan,1960,6.235
Tajikistan,1961,6.266
Tajikistan,1962,6.308
Tajikistan,1963,6.365
Tajikistan,1964,6.433
Tajikistan,1965,6.513
Tajikistan,1966,6.602
Tajikistan,1967,6.693
Tajikistan,1968,6.775
Tajikistan,1969,6.841
Tajikistan,1970,6.877999999999999
Tajikistan,1971,6.87
Tajikistan,1972,6.814
Tajikistan,1973,6.712999999999999
Tajikistan,1974,6.572
Tajikistan,1975,6.402
Tajikistan,1976,6.22
Tajikistan,1977,6.0429999999999975
Tajikistan,1978,5.8870000000000005
Tajikistan,1979,5.7589999999999995
Tajikistan,1980,5.662999999999999
Tajikistan,1981,5.601
Tajikistan,1982,5.561
Tajikistan,1983,5.5329999999999995
Tajikistan,1984,5.51
Tajikistan,1985,5.4860000000000015
Tajikistan,1986,5.452999999999999
Tajikistan,1987,5.4079999999999995
Tajikistan,1988,5.347
Tajikistan,1989,5.27
Tajikistan,1990,5.175
Tajikistan,1991,5.067
Tajikistan,1992,4.95
Tajikistan,1993,4.83
Tajikistan,1994,4.709
Tajikistan,1995,4.587
Tajikistan,1996,4.462
Tajikistan,1997,4.334
Tajikistan,1998,4.203
Tajikistan,1999,4.075
Tajikistan,2000,3.9539999999999997
Tajikistan,2001,3.8480000000000003
Tajikistan,2002,3.76
Tajikistan,2003,3.695
Tajikistan,2004,3.653
Tajikistan,2005,3.636
Tajikistan,2006,3.642
Tajikistan,2007,3.667
Tajikistan,2008,3.7030000000000003
Tajikistan,2009,3.7430000000000003
Tajikistan,2010,3.78
Tajikistan,2011,3.807
Tajikistan,2012,
Tajikistan,2013,
