CountryName,Year,FertilityRate
Thailand,1960,6.147
Thailand,1961,6.151
Thailand,1962,6.155
Thailand,1963,6.157
Thailand,1964,6.151
Thailand,1965,6.129
Thailand,1966,6.084
Thailand,1967,6.0089999999999995
Thailand,1968,5.903
Thailand,1969,5.763999999999999
Thailand,1970,5.595
Thailand,1971,5.397
Thailand,1972,5.181
Thailand,1973,4.953
Thailand,1974,4.721
Thailand,1975,4.488
Thailand,1976,4.257
Thailand,1977,4.03
Thailand,1978,3.8080000000000003
Thailand,1979,3.594
Thailand,1980,3.392
Thailand,1981,3.202
Thailand,1982,3.0239999999999996
Thailand,1983,2.859
Thailand,1984,2.707
Thailand,1985,2.571
Thailand,1986,2.451
Thailand,1987,2.346
Thailand,1988,2.256
Thailand,1989,2.1790000000000003
Thailand,1990,2.113
Thailand,1991,2.055
Thailand,1992,2.003
Thailand,1993,1.956
Thailand,1994,1.911
Thailand,1995,1.867
Thailand,1996,1.824
Thailand,1997,1.784
Thailand,1998,1.745
Thailand,1999,1.709
Thailand,2000,1.676
Thailand,2001,1.6440000000000001
Thailand,2002,1.615
Thailand,2003,1.588
Thailand,2004,1.5630000000000002
Thailand,2005,1.5390000000000001
Thailand,2006,1.517
Thailand,2007,1.496
Thailand,2008,1.4769999999999999
Thailand,2009,1.459
Thailand,2010,1.443
Thailand,2011,1.4269999999999998
Thailand,2012,
Thailand,2013,
