CountryName,Year,FertilityRate
Trinidad and Tobago,1960,5.263999999999999
Trinidad and Tobago,1961,5.1770000000000005
Trinidad and Tobago,1962,5.047
Trinidad and Tobago,1963,4.873
Trinidad and Tobago,1964,4.664
Trinidad and Tobago,1965,4.433
Trinidad and Tobago,1966,4.2
Trinidad and Tobago,1967,3.985
Trinidad and Tobago,1968,3.802
Trinidad and Tobago,1969,3.658
Trinidad and Tobago,1970,3.554
Trinidad and Tobago,1971,3.484
Trinidad and Tobago,1972,3.432
Trinidad and Tobago,1973,3.389
Trinidad and Tobago,1974,3.3489999999999998
Trinidad and Tobago,1975,3.313
Trinidad and Tobago,1976,3.287
Trinidad and Tobago,1977,3.273
Trinidad and Tobago,1978,3.2710000000000004
Trinidad and Tobago,1979,3.278
Trinidad and Tobago,1980,3.284
Trinidad and Tobago,1981,3.281
Trinidad and Tobago,1982,3.261
Trinidad and Tobago,1983,3.218
Trinidad and Tobago,1984,3.1510000000000002
Trinidad and Tobago,1985,3.06
Trinidad and Tobago,1986,2.949
Trinidad and Tobago,1987,2.827
Trinidad and Tobago,1988,2.7
Trinidad and Tobago,1989,2.574
Trinidad and Tobago,1990,2.4530000000000003
Trinidad and Tobago,1991,2.339
Trinidad and Tobago,1992,2.231
Trinidad and Tobago,1993,2.131
Trinidad and Tobago,1994,2.04
Trinidad and Tobago,1995,1.9609999999999999
Trinidad and Tobago,1996,1.896
Trinidad and Tobago,1997,1.8430000000000002
Trinidad and Tobago,1998,1.801
Trinidad and Tobago,1999,1.7719999999999998
Trinidad and Tobago,2000,1.7530000000000001
Trinidad and Tobago,2001,1.744
Trinidad and Tobago,2002,1.744
Trinidad and Tobago,2003,1.749
Trinidad and Tobago,2004,1.758
Trinidad and Tobago,2005,1.7690000000000001
Trinidad and Tobago,2006,1.7790000000000001
Trinidad and Tobago,2007,1.788
Trinidad and Tobago,2008,1.796
Trinidad and Tobago,2009,1.8
Trinidad and Tobago,2010,1.8019999999999998
Trinidad and Tobago,2011,1.801
Trinidad and Tobago,2012,
Trinidad and Tobago,2013,
