CountryName,Year,FertilityRate
Tunisia,1960,7.0429999999999975
Tunisia,1961,7.087999999999999
Tunisia,1962,7.117999999999999
Tunisia,1963,7.125
Tunisia,1964,7.107
Tunisia,1965,7.059
Tunisia,1966,6.978
Tunisia,1967,6.869
Tunisia,1968,6.737
Tunisia,1969,6.59
Tunisia,1970,6.438
Tunisia,1971,6.2920000000000025
Tunisia,1972,6.16
Tunisia,1973,6.046
Tunisia,1974,5.95
Tunisia,1975,5.867000000000001
Tunisia,1976,5.79
Tunisia,1977,5.706
Tunisia,1978,5.606
Tunisia,1979,5.4879999999999995
Tunisia,1980,5.349
Tunisia,1981,5.189
Tunisia,1982,5.015
Tunisia,1983,4.833
Tunisia,1984,4.645
Tunisia,1985,4.454
Tunisia,1986,4.265
Tunisia,1987,4.077
Tunisia,1988,3.8930000000000002
Tunisia,1989,3.714
Tunisia,1990,3.5380000000000003
Tunisia,1991,3.363
Tunisia,1992,3.188
Tunisia,1993,3.013
Tunisia,1994,2.9
Tunisia,1995,2.67
Tunisia,1996,2.51
Tunisia,1997,2.38
Tunisia,1998,2.23
Tunisia,1999,2.09
Tunisia,2000,2.08
Tunisia,2001,2.05
Tunisia,2002,2.0
Tunisia,2003,2.06
Tunisia,2004,2.02
Tunisia,2005,2.04
Tunisia,2006,2.03
Tunisia,2007,2.04
Tunisia,2008,2.06
Tunisia,2009,2.05
Tunisia,2010,2.13
Tunisia,2011,2.13
Tunisia,2012,
Tunisia,2013,
