CountryName,Year,FertilityRate
Ukraine,1960,2.24
Ukraine,1961,2.17
Ukraine,1962,2.14
Ukraine,1963,2.06
Ukraine,1964,1.96
Ukraine,1965,1.99
Ukraine,1966,2.02
Ukraine,1967,2.01
Ukraine,1968,1.9980000000000002
Ukraine,1969,2.04
Ukraine,1970,2.09
Ukraine,1971,2.12
Ukraine,1972,2.08
Ukraine,1973,2.04
Ukraine,1974,2.04
Ukraine,1975,2.02
Ukraine,1976,1.99
Ukraine,1977,1.94
Ukraine,1978,1.96
Ukraine,1979,1.96
Ukraine,1980,1.95
Ukraine,1981,1.93
Ukraine,1982,1.98
Ukraine,1983,2.08
Ukraine,1984,2.09
Ukraine,1985,2.06
Ukraine,1986,2.08
Ukraine,1987,2.05
Ukraine,1988,2.02
Ukraine,1989,1.92
Ukraine,1990,1.848
Ukraine,1991,1.81
Ukraine,1992,1.72
Ukraine,1993,1.6
Ukraine,1994,1.5
Ukraine,1995,1.4
Ukraine,1996,1.3
Ukraine,1997,1.3
Ukraine,1998,1.2
Ukraine,1999,1.2
Ukraine,2000,1.1
Ukraine,2001,1.1
Ukraine,2002,1.1
Ukraine,2003,1.2
Ukraine,2004,1.2
Ukraine,2005,1.2
Ukraine,2006,1.31
Ukraine,2007,1.345
Ukraine,2008,1.39
Ukraine,2009,1.46
Ukraine,2010,1.445
Ukraine,2011,1.459
Ukraine,2012,
Ukraine,2013,
