CountryName,Year,FertilityRate
United Arab Emirates,1960,6.928
United Arab Emirates,1961,6.91
United Arab Emirates,1962,6.893
United Arab Emirates,1963,6.8770000000000024
United Arab Emirates,1964,6.8610000000000015
United Arab Emirates,1965,6.841
United Arab Emirates,1966,6.816
United Arab Emirates,1967,6.7829999999999995
United Arab Emirates,1968,6.7379999999999995
United Arab Emirates,1969,6.678999999999999
United Arab Emirates,1970,6.605
United Arab Emirates,1971,6.5120000000000005
United Arab Emirates,1972,6.402
United Arab Emirates,1973,6.279
United Arab Emirates,1974,6.146
United Arab Emirates,1975,6.0089999999999995
United Arab Emirates,1976,5.8729999999999976
United Arab Emirates,1977,5.744
United Arab Emirates,1978,5.624
United Arab Emirates,1979,5.517
United Arab Emirates,1980,5.422999999999999
United Arab Emirates,1981,5.343999999999999
United Arab Emirates,1982,5.274
United Arab Emirates,1983,5.209
United Arab Emirates,1984,5.141
United Arab Emirates,1985,5.065
United Arab Emirates,1986,4.973
United Arab Emirates,1987,4.86
United Arab Emirates,1988,4.724
United Arab Emirates,1989,4.566
United Arab Emirates,1990,4.388
United Arab Emirates,1991,4.1930000000000005
United Arab Emirates,1992,3.989
United Arab Emirates,1993,3.784
United Arab Emirates,1994,3.583
United Arab Emirates,1995,3.3930000000000002
United Arab Emirates,1996,3.215
United Arab Emirates,1997,3.052
United Arab Emirates,1998,2.9019999999999997
United Arab Emirates,1999,2.766
United Arab Emirates,2000,2.6439999999999997
United Arab Emirates,2001,2.532
United Arab Emirates,2002,2.428
United Arab Emirates,2003,2.329
United Arab Emirates,2004,2.2359999999999998
United Arab Emirates,2005,2.149
United Arab Emirates,2006,2.0709999999999997
United Arab Emirates,2007,2.004
United Arab Emirates,2008,1.9480000000000002
United Arab Emirates,2009,1.903
United Arab Emirates,2010,1.868
United Arab Emirates,2011,1.841
United Arab Emirates,2012,
United Arab Emirates,2013,
