CountryName,Year,FertilityRate
United Kingdom,1960,2.6919999999999997
United Kingdom,1961,2.784
United Kingdom,1962,2.859
United Kingdom,1963,2.8810000000000002
United Kingdom,1964,2.9339999999999997
United Kingdom,1965,2.863
United Kingdom,1966,2.783
United Kingdom,1967,2.679
United Kingdom,1968,2.6039999999999996
United Kingdom,1969,2.5069999999999997
United Kingdom,1970,2.437
United Kingdom,1971,2.408
United Kingdom,1972,2.204
United Kingdom,1973,2.036
United Kingdom,1974,1.92
United Kingdom,1975,1.81
United Kingdom,1976,1.74
United Kingdom,1977,1.69
United Kingdom,1978,1.75
United Kingdom,1979,1.86
United Kingdom,1980,1.89
United Kingdom,1981,1.81
United Kingdom,1982,1.78
United Kingdom,1983,1.77
United Kingdom,1984,1.77
United Kingdom,1985,1.8
United Kingdom,1986,1.78
United Kingdom,1987,1.82
United Kingdom,1988,1.83
United Kingdom,1989,1.8
United Kingdom,1990,1.83
United Kingdom,1991,1.82
United Kingdom,1992,1.79
United Kingdom,1993,1.82
United Kingdom,1994,1.74
United Kingdom,1995,1.71
United Kingdom,1996,1.72
United Kingdom,1997,1.72
United Kingdom,1998,1.71
United Kingdom,1999,1.68
United Kingdom,2000,1.64
United Kingdom,2001,1.63
United Kingdom,2002,1.64
United Kingdom,2003,1.71
United Kingdom,2004,1.77
United Kingdom,2005,1.78
United Kingdom,2006,1.84
United Kingdom,2007,1.9
United Kingdom,2008,1.96
United Kingdom,2009,1.94
United Kingdom,2010,1.98
United Kingdom,2011,1.98
United Kingdom,2012,
United Kingdom,2013,
