CountryName,Year,FertilityRate
Vanuatu,1960,7.197
Vanuatu,1961,7.12
Vanuatu,1962,7.0329999999999995
Vanuatu,1963,6.938
Vanuatu,1964,6.836
Vanuatu,1965,6.73
Vanuatu,1966,6.626
Vanuatu,1967,6.526
Vanuatu,1968,6.433
Vanuatu,1969,6.348
Vanuatu,1970,6.272
Vanuatu,1971,6.202000000000001
Vanuatu,1972,6.1339999999999995
Vanuatu,1973,6.067
Vanuatu,1974,5.999
Vanuatu,1975,5.928999999999999
Vanuatu,1976,5.858
Vanuatu,1977,5.787000000000001
Vanuatu,1978,5.716
Vanuatu,1979,5.645
Vanuatu,1980,5.575
Vanuatu,1981,5.502999999999999
Vanuatu,1982,5.43
Vanuatu,1983,5.356
Vanuatu,1984,5.282
Vanuatu,1985,5.209
Vanuatu,1986,5.141
Vanuatu,1987,5.078
Vanuatu,1988,5.022
Vanuatu,1989,4.971
Vanuatu,1990,4.927
Vanuatu,1991,4.887
Vanuatu,1992,4.85
Vanuatu,1993,4.814
Vanuatu,1994,4.775
Vanuatu,1995,4.73
Vanuatu,1996,4.677
Vanuatu,1997,4.614
Vanuatu,1998,4.542
Vanuatu,1999,4.459
Vanuatu,2000,4.368
Vanuatu,2001,4.268
Vanuatu,2002,4.162
Vanuatu,2003,4.056
Vanuatu,2004,3.95
Vanuatu,2005,3.8510000000000004
Vanuatu,2006,3.76
Vanuatu,2007,3.679
Vanuatu,2008,3.608
Vanuatu,2009,3.549
Vanuatu,2010,3.4989999999999997
Vanuatu,2011,3.4560000000000004
Vanuatu,2012,
Vanuatu,2013,
