CountryName,Year,FertilityRate
"Venezuela, RB",1960,6.6160000000000005
"Venezuela, RB",1961,6.6370000000000005
"Venezuela, RB",1962,6.627999999999999
"Venezuela, RB",1963,6.581
"Venezuela, RB",1964,6.495
"Venezuela, RB",1965,6.367999999999999
"Venezuela, RB",1966,6.202999999999999
"Venezuela, RB",1967,6.013999999999999
"Venezuela, RB",1968,5.811
"Venezuela, RB",1969,5.605
"Venezuela, RB",1970,5.404
"Venezuela, RB",1971,5.218999999999999
"Venezuela, RB",1972,5.053
"Venezuela, RB",1973,4.905
"Venezuela, RB",1974,4.779
"Venezuela, RB",1975,4.67
"Venezuela, RB",1976,4.574
"Venezuela, RB",1977,4.4830000000000005
"Venezuela, RB",1978,4.391
"Venezuela, RB",1979,4.296
"Venezuela, RB",1980,4.199
"Venezuela, RB",1981,4.104
"Venezuela, RB",1982,4.013999999999999
"Venezuela, RB",1983,3.9330000000000003
"Venezuela, RB",1984,3.861
"Venezuela, RB",1985,3.7939999999999996
"Venezuela, RB",1986,3.73
"Venezuela, RB",1987,3.665
"Venezuela, RB",1988,3.597
"Venezuela, RB",1989,3.5239999999999996
"Venezuela, RB",1990,3.448
"Venezuela, RB",1991,3.37
"Venezuela, RB",1992,3.292
"Venezuela, RB",1993,3.218
"Venezuela, RB",1994,3.147
"Venezuela, RB",1995,3.082
"Venezuela, RB",1996,3.022
"Venezuela, RB",1997,2.967
"Venezuela, RB",1998,2.915
"Venezuela, RB",1999,2.867
"Venezuela, RB",2000,2.822
"Venezuela, RB",2001,2.779
"Venezuela, RB",2002,2.739
"Venezuela, RB",2003,2.701
"Venezuela, RB",2004,2.6639999999999997
"Venezuela, RB",2005,2.6289999999999996
"Venezuela, RB",2006,2.595
"Venezuela, RB",2007,2.562
"Venezuela, RB",2008,2.531
"Venezuela, RB",2009,2.501
"Venezuela, RB",2010,2.472
"Venezuela, RB",2011,2.444
"Venezuela, RB",2012,
"Venezuela, RB",2013,
