CountryName,Year,FertilityRate
Vietnam,1960,6.348
Vietnam,1961,6.392
Vietnam,1962,6.425
Vietnam,1963,6.4479999999999995
Vietnam,1964,6.4639999999999995
Vietnam,1965,6.475
Vietnam,1966,6.485
Vietnam,1967,6.492999999999999
Vietnam,1968,6.494
Vietnam,1969,6.487
Vietnam,1970,6.465
Vietnam,1971,6.421
Vietnam,1972,6.35
Vietnam,1973,6.251
Vietnam,1974,6.125
Vietnam,1975,5.973
Vietnam,1976,5.8
Vietnam,1977,5.614
Vietnam,1978,5.422999999999999
Vietnam,1979,5.232
Vietnam,1980,5.046
Vietnam,1981,4.865
Vietnam,1982,4.691
Vietnam,1983,4.521
Vietnam,1984,4.359
Vietnam,1985,4.205
Vietnam,1986,4.063
Vietnam,1987,3.931
Vietnam,1988,3.806
Vietnam,1989,3.6839999999999997
Vietnam,1990,3.5580000000000003
Vietnam,1991,3.4160000000000004
Vietnam,1992,3.255
Vietnam,1993,3.074
Vietnam,1994,2.878
Vietnam,1995,2.676
Vietnam,1996,2.4819999999999998
Vietnam,1997,2.309
Vietnam,1998,2.166
Vietnam,1999,2.057
Vietnam,2000,1.983
Vietnam,2001,1.94
Vietnam,2002,1.9180000000000001
Vietnam,2003,1.9069999999999998
Vietnam,2004,1.902
Vietnam,2005,1.8969999999999998
Vietnam,2006,1.889
Vietnam,2007,1.8769999999999998
Vietnam,2008,1.8619999999999999
Vietnam,2009,1.8430000000000002
Vietnam,2010,1.82
Vietnam,2011,1.794
Vietnam,2012,
Vietnam,2013,
