CountryName,Year,FertilityRate
Virgin Islands (U.S.),1960,5.615
Virgin Islands (U.S.),1961,5.651
Virgin Islands (U.S.),1962,5.678999999999999
Virgin Islands (U.S.),1963,5.6960000000000015
Virgin Islands (U.S.),1964,5.6979999999999995
Virgin Islands (U.S.),1965,5.678999999999999
Virgin Islands (U.S.),1966,5.6339999999999995
Virgin Islands (U.S.),1967,5.561
Virgin Islands (U.S.),1968,5.459
Virgin Islands (U.S.),1969,5.327999999999999
Virgin Islands (U.S.),1970,5.167000000000002
Virgin Islands (U.S.),1971,4.976
Virgin Islands (U.S.),1972,4.76
Virgin Islands (U.S.),1973,4.527
Virgin Islands (U.S.),1974,4.2860000000000005
Virgin Islands (U.S.),1975,4.047
Virgin Islands (U.S.),1976,3.818
Virgin Islands (U.S.),1977,3.6069999999999998
Virgin Islands (U.S.),1978,3.42
Virgin Islands (U.S.),1979,3.261
Virgin Islands (U.S.),1980,3.138
Virgin Islands (U.S.),1981,3.053
Virgin Islands (U.S.),1982,3.0
Virgin Islands (U.S.),1983,2.9730000000000003
Virgin Islands (U.S.),1984,2.967
Virgin Islands (U.S.),1985,2.9730000000000003
Virgin Islands (U.S.),1986,2.986
Virgin Islands (U.S.),1987,2.997
Virgin Islands (U.S.),1988,2.9989999999999997
Virgin Islands (U.S.),1989,2.987
Virgin Islands (U.S.),1990,2.9539999999999997
Virgin Islands (U.S.),1991,2.895
Virgin Islands (U.S.),1992,2.813
Virgin Islands (U.S.),1993,2.7119999999999997
Virgin Islands (U.S.),1994,2.5989999999999998
Virgin Islands (U.S.),1995,2.481
Virgin Islands (U.S.),1996,2.367
Virgin Islands (U.S.),1997,2.265
Virgin Islands (U.S.),1998,2.184
Virgin Islands (U.S.),1999,2.128
Virgin Islands (U.S.),2000,2.055
Virgin Islands (U.S.),2001,1.9
Virgin Islands (U.S.),2002,2.113
Virgin Islands (U.S.),2003,2.006
Virgin Islands (U.S.),2004,2.068
Virgin Islands (U.S.),2005,2.1109999999999998
Virgin Islands (U.S.),2006,1.95
Virgin Islands (U.S.),2007,1.915
Virgin Islands (U.S.),2008,1.88
Virgin Islands (U.S.),2009,1.845
Virgin Islands (U.S.),2010,1.8
Virgin Islands (U.S.),2011,1.8
Virgin Islands (U.S.),2012,
Virgin Islands (U.S.),2013,
