CountryName,Year,FertilityRate
Zimbabwe,1960,7.1579999999999995
Zimbabwe,1961,7.215
Zimbabwe,1962,7.267
Zimbabwe,1963,7.311
Zimbabwe,1964,7.347
Zimbabwe,1965,7.3729999999999976
Zimbabwe,1966,7.391
Zimbabwe,1967,7.403
Zimbabwe,1968,7.4110000000000005
Zimbabwe,1969,7.415
Zimbabwe,1970,7.4170000000000025
Zimbabwe,1971,7.419
Zimbabwe,1972,7.42
Zimbabwe,1973,7.4170000000000025
Zimbabwe,1974,7.41
Zimbabwe,1975,7.395
Zimbabwe,1976,7.369
Zimbabwe,1977,7.33
Zimbabwe,1978,7.273
Zimbabwe,1979,7.1960000000000015
Zimbabwe,1980,7.095
Zimbabwe,1981,6.9670000000000005
Zimbabwe,1982,6.811
Zimbabwe,1983,6.632999999999999
Zimbabwe,1984,6.435
Zimbabwe,1985,6.223
Zimbabwe,1986,6.004
Zimbabwe,1987,5.784
Zimbabwe,1988,5.569
Zimbabwe,1989,5.365
Zimbabwe,1990,5.176
Zimbabwe,1991,5.001
Zimbabwe,1992,4.84
Zimbabwe,1993,4.69
Zimbabwe,1994,4.553999999999999
Zimbabwe,1995,4.4319999999999995
Zimbabwe,1996,4.328
Zimbabwe,1997,4.24
Zimbabwe,1998,4.169
Zimbabwe,1999,4.112
Zimbabwe,2000,4.069
Zimbabwe,2001,4.039
Zimbabwe,2002,4.018
Zimbabwe,2003,4.002
Zimbabwe,2004,3.987
Zimbabwe,2005,3.969
Zimbabwe,2006,3.9410000000000003
Zimbabwe,2007,3.903
Zimbabwe,2008,3.853
Zimbabwe,2009,3.792
Zimbabwe,2010,3.721
Zimbabwe,2011,3.6430000000000002
Zimbabwe,2012,
Zimbabwe,2013,
